,Unnamed: 0,1,index,x,norm
0,0,0,0,0.0407,0.0
1,1,3691,1,0.1221,45343.98034398034
2,2,7592,2,0.2035,93267.81326781327
3,3,8087,3,0.2849,99348.89434889435
4,4,6184,4,0.3663,75970.51597051597
5,5,5763,5,0.4476999999999999,70798.52579852579
6,6,5207,6,0.5290999999999999,63968.05896805897
7,7,4557,7,0.6104999999999998,55982.80098280098
8,8,3681,8,0.6918999999999998,45221.130221130225
9,9,2863,9,0.7732999999999999,35171.990171990175
10,10,2227,10,0.8546999999999998,27358.72235872236
11,11,1918,11,0.9360999999999998,23562.653562653562
12,12,1615,12,1.0174999999999998,19840.29484029484
13,13,1722,13,1.0988999999999998,21154.791154791154
14,14,4750,14,1.1802999999999997,58353.80835380835
15,15,13377,15,1.2616999999999998,164336.60933660934
16,16,19655,16,1.3430999999999995,241461.91646191647
17,17,19759,17,1.4244999999999997,242739.55773955773
18,18,15765,18,1.5058999999999998,193673.21867321868
19,19,11774,19,1.5872999999999995,144643.73464373464
20,20,7666,20,1.6686999999999996,94176.90417690418
21,21,4846,21,1.7500999999999998,59533.16953316953
22,22,2787,22,1.8315,34238.329238329236
23,23,1787,23,1.9129,21953.316953316953
24,24,1054,24,1.9943,12948.402948402949
25,25,651,25,2.0757,7997.542997542998
26,26,504,26,2.1571,6191.646191646191
27,27,412,27,2.2385,5061.425061425061
28,28,365,28,2.3199,4484.029484029484
29,29,379,29,2.4013,4656.019656019656
30,30,425,30,2.4827,5221.130221130221
31,31,419,31,2.5641,5147.420147420147
32,32,461,32,2.6455,5663.390663390664
33,33,473,33,2.7269,5810.810810810811
34,34,522,34,2.8083,6412.776412776413
35,35,626,35,2.8896999999999995,7690.41769041769
36,36,694,36,2.9711,8525.798525798526
37,37,1045,37,3.0525,12837.837837837838
38,38,1835,38,3.1339,22542.997542997542
39,39,3727,39,3.2153,45786.240786240785
40,40,7121,40,3.2966999999999995,87481.57248157248
41,41,12015,41,3.3780999999999994,147604.4226044226
42,42,16637,42,3.4595,204385.7493857494
43,43,19555,43,3.5409,240233.41523341523
44,44,19040,44,3.6223,233906.6339066339
45,45,16505,45,3.7037,202764.12776412777
46,46,12119,46,3.7851,148882.06388206387
47,47,8021,47,3.8665,98538.08353808353
48,48,4789,48,3.9479,58832.923832923836
49,49,2775,49,4.029299999999999,34090.90909090909
50,50,1475,50,4.1107,18120.39312039312
51,51,862,51,4.192099999999999,10589.680589680589
52,52,587,52,4.2734999999999985,7211.302211302212
53,53,451,53,4.3549,5540.540540540541
54,54,394,54,4.436299999999999,4840.2948402948405
55,55,287,55,4.5177,3525.7985257985256
56,56,273,56,4.599099999999999,3353.808353808354
57,57,237,57,4.6804999999999986,2911.5479115479116
58,58,230,58,4.7619,2825.5528255528257
59,59,205,59,4.843299999999998,2518.4275184275184
60,60,182,60,4.9247,2235.8722358722357
61,61,176,61,5.006099999999999,2162.162162162162
62,62,165,62,5.0875,2027.027027027027
63,63,161,63,5.168899999999999,1977.8869778869778
64,64,168,64,5.250299999999998,2063.882063882064
65,65,157,65,5.3317,1928.7469287469287
66,66,119,66,5.413099999999999,1461.916461916462
67,67,132,67,5.4945,1621.6216216216217
68,68,141,68,5.575899999999999,1732.1867321867321
69,69,109,69,5.657299999999998,1339.066339066339
70,70,127,70,5.738699999999999,1560.19656019656
71,71,101,71,5.820099999999999,1240.7862407862408
72,72,97,72,5.9015,1191.6461916461917
73,73,94,73,5.982899999999999,1154.791154791155
74,74,84,74,6.0642999999999985,1031.941031941032
75,75,90,75,6.145699999999999,1105.6511056511056
76,76,89,76,6.227099999999999,1093.3660933660933
77,77,78,77,6.3085,958.2309582309582
78,78,80,78,6.389899999999999,982.8009828009828
79,79,95,79,6.4712999999999985,1167.0761670761672
80,80,85,80,6.552699999999999,1044.2260442260442
81,81,74,81,6.634099999999999,909.0909090909091
82,82,69,82,6.715499999999999,847.6658476658477
83,83,67,83,6.796899999999999,823.0958230958231
84,84,57,84,6.8782999999999985,700.2457002457003
85,85,74,85,6.959699999999999,909.0909090909091
86,86,62,86,7.041099999999999,761.6707616707616
87,87,65,87,7.122499999999999,798.5257985257986
88,88,57,88,7.203899999999999,700.2457002457003
89,89,68,89,7.2852999999999986,835.3808353808354
90,90,49,90,7.366699999999999,601.965601965602
91,91,40,91,7.448099999999998,491.4004914004914
92,92,48,92,7.529499999999999,589.6805896805897
93,93,44,93,7.610899999999999,540.5405405405405
94,94,32,94,7.692299999999999,393.12039312039315
95,95,40,95,7.773699999999999,491.4004914004914
96,96,30,96,7.855099999999998,368.55036855036855
97,97,44,97,7.936499999999999,540.5405405405405
98,98,41,98,8.0179,503.6855036855037
99,99,36,99,8.099299999999998,442.26044226044223
100,100,25,100,8.180699999999998,307.12530712530713
101,101,38,101,8.262099999999998,466.83046683046683
102,102,34,102,8.343499999999997,417.6904176904177
103,103,24,103,8.424899999999997,294.84029484029486
104,104,20,104,8.506299999999998,245.7002457002457
105,105,36,105,8.587699999999998,442.26044226044223
106,106,27,106,8.669099999999998,331.6953316953317
107,107,19,107,8.750499999999997,233.41523341523342
108,108,23,108,8.831899999999997,282.55528255528253
109,109,29,109,8.913299999999998,356.2653562653563
110,110,16,110,8.994699999999998,196.56019656019657
111,111,20,111,9.0761,245.7002457002457
112,112,23,112,9.157499999999997,282.55528255528253
113,113,24,113,9.238899999999996,294.84029484029486
114,114,22,114,9.320299999999998,270.27027027027026
115,115,28,115,9.401699999999998,343.980343980344
116,116,24,116,9.4831,294.84029484029486
117,117,16,117,9.564499999999997,196.56019656019657
118,118,25,118,9.645899999999996,307.12530712530713
119,119,24,119,9.727299999999998,294.84029484029486
120,120,33,120,9.808699999999998,405.4054054054054
121,121,10,121,9.890099999999997,122.85012285012284
122,122,25,122,9.971499999999997,307.12530712530713
123,123,25,123,10.052899999999998,307.12530712530713
124,124,19,124,10.134299999999998,233.41523341523342
125,125,15,125,10.215699999999998,184.27518427518427
126,126,15,126,10.297099999999997,184.27518427518427
127,127,19,127,10.378499999999997,233.41523341523342
128,128,11,128,10.459899999999998,135.13513513513513
129,129,11,129,10.541299999999998,135.13513513513513
130,130,14,130,10.622699999999998,171.990171990172
131,131,11,131,10.704099999999997,135.13513513513513
132,132,16,132,10.785499999999995,196.56019656019657
133,133,17,133,10.866899999999998,208.84520884520884
134,134,17,134,10.948299999999998,208.84520884520884
135,135,15,135,11.029699999999998,184.27518427518427
136,136,10,136,11.111099999999995,122.85012285012284
137,137,13,137,11.192499999999995,159.7051597051597
138,138,11,138,11.273899999999998,135.13513513513513
139,139,7,139,11.355299999999998,85.995085995086
140,140,14,140,11.436699999999995,171.990171990172
141,141,14,141,11.518099999999995,171.990171990172
142,142,14,142,11.599499999999995,171.990171990172
143,143,9,143,11.680899999999998,110.56511056511056
144,144,7,144,11.762299999999998,85.995085995086
145,145,7,145,11.843699999999995,85.995085995086
146,146,12,146,11.925099999999995,147.42014742014743
147,147,12,147,12.006499999999996,147.42014742014743
148,148,13,148,12.087899999999998,159.7051597051597
149,149,11,149,12.169299999999998,135.13513513513513
150,150,14,150,12.250699999999995,171.990171990172
151,151,12,151,12.332099999999995,147.42014742014743
152,152,9,152,12.413499999999996,110.56511056511056
153,153,9,153,12.494899999999998,110.56511056511056
154,154,11,154,12.576299999999998,135.13513513513513
155,155,14,155,12.657699999999995,171.990171990172
156,156,12,156,12.739099999999995,147.42014742014743
157,157,6,157,12.820499999999996,73.71007371007371
158,158,9,158,12.901899999999998,110.56511056511056
159,159,4,159,12.983299999999995,49.14004914004914
160,160,11,160,13.064699999999995,135.13513513513513
161,161,15,161,13.146099999999995,184.27518427518427
162,162,13,162,13.227499999999996,159.7051597051597
163,163,10,163,13.308899999999998,122.85012285012284
164,164,8,164,13.390299999999995,98.28009828009829
165,165,11,165,13.471699999999995,135.13513513513513
166,166,6,166,13.553099999999995,73.71007371007371
167,167,13,167,13.634499999999996,159.7051597051597
168,168,5,168,13.715899999999998,61.42506142506142
169,169,8,169,13.797299999999995,98.28009828009829
170,170,10,170,13.878699999999995,122.85012285012284
171,171,12,171,13.960099999999995,147.42014742014743
172,172,9,172,14.041499999999996,110.56511056511056
173,173,10,173,14.122899999999998,122.85012285012284
174,174,9,174,14.204299999999995,110.56511056511056
175,175,3,175,14.285699999999995,36.85503685503686
176,176,8,176,14.367099999999995,98.28009828009829
177,177,6,177,14.448499999999996,73.71007371007371
178,178,8,178,14.529899999999996,98.28009828009829
179,179,11,179,14.611299999999995,135.13513513513513
180,180,8,180,14.692699999999995,98.28009828009829
181,181,4,181,14.774099999999995,49.14004914004914
182,182,11,182,14.855499999999996,135.13513513513513
183,183,9,183,14.936899999999996,110.56511056511056
184,184,7,184,15.018299999999995,85.995085995086
185,185,6,185,15.099699999999995,73.71007371007371
186,186,7,186,15.181099999999995,85.995085995086
187,187,4,187,15.262499999999998,49.14004914004914
188,188,3,188,15.343899999999996,36.85503685503686
189,189,6,189,15.425299999999995,73.71007371007371
190,190,12,190,15.506699999999995,147.42014742014743
191,191,3,191,15.588099999999995,36.85503685503686
192,192,6,192,15.669499999999998,73.71007371007371
193,193,7,193,15.750899999999994,85.995085995086
194,194,6,194,15.832299999999995,73.71007371007371
195,195,7,195,15.913699999999995,85.995085995086
196,196,2,196,15.995099999999995,24.57002457002457
197,197,1,197,16.0765,12.285012285012286
198,198,7,198,16.157899999999998,85.995085995086
199,199,4,199,16.2393,49.14004914004914
200,200,2,200,16.3207,24.57002457002457
201,201,10,201,16.402099999999994,122.85012285012284
202,202,1,202,16.4835,12.285012285012286
203,203,9,203,16.564899999999998,110.56511056511056
204,204,3,204,16.646299999999997,36.85503685503686
205,205,4,205,16.7277,49.14004914004914
206,206,5,206,16.809099999999994,61.42506142506142
207,207,6,207,16.8905,73.71007371007371
208,208,9,208,16.971899999999998,110.56511056511056
209,209,8,209,17.053299999999997,98.28009828009829
210,210,1,210,17.1347,12.285012285012286
211,211,9,211,17.216099999999994,110.56511056511056
212,212,5,212,17.2975,61.42506142506142
213,213,8,213,17.378899999999998,98.28009828009829
214,214,3,214,17.460299999999997,36.85503685503686
215,215,0,215,17.5417,0.0
216,216,7,216,17.623099999999994,85.995085995086
217,217,3,217,17.7045,36.85503685503686
218,218,4,218,17.785899999999994,49.14004914004914
219,219,5,219,17.867299999999997,61.42506142506142
220,220,5,220,17.9487,61.42506142506142
221,221,5,221,18.0301,61.42506142506142
222,222,4,222,18.1115,49.14004914004914
223,223,4,223,18.1929,49.14004914004914
224,224,5,224,18.2743,61.42506142506142
225,225,9,225,18.3557,110.56511056511056
226,226,9,226,18.4371,110.56511056511056
227,227,5,227,18.5185,61.42506142506142
228,228,7,228,18.5999,85.995085995086
229,229,2,229,18.6813,24.57002457002457
230,230,4,230,18.7627,49.14004914004914
231,231,4,231,18.8441,49.14004914004914
232,232,3,232,18.9255,36.85503685503686
233,233,6,233,19.0069,73.71007371007371
234,234,1,234,19.0883,12.285012285012286
235,235,2,235,19.1697,24.57002457002457
236,236,7,236,19.2511,85.995085995086
237,237,5,237,19.3325,61.42506142506142
238,238,3,238,19.4139,36.85503685503686
239,239,3,239,19.4953,36.85503685503686
240,240,10,240,19.5767,122.85012285012284
241,241,4,241,19.6581,49.14004914004914
242,242,2,242,19.7395,24.57002457002457
243,243,4,243,19.8209,49.14004914004914
244,244,6,244,19.9023,73.71007371007371
245,245,6,245,19.9837,73.71007371007371
246,246,1,246,20.0651,12.285012285012286
247,247,4,247,20.1465,49.14004914004914
248,248,2,248,20.2279,24.57002457002457
249,249,1,249,20.3093,12.285012285012286
250,250,5,250,20.3907,61.42506142506142
251,251,6,251,20.4721,73.71007371007371
252,252,4,252,20.5535,49.14004914004914
253,253,2,253,20.6349,24.57002457002457
254,254,2,254,20.7163,24.57002457002457
255,255,383,255,20.7977,4705.1597051597055
